epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5981,2.08229,4.1714,2.52302,0.15702,0.25,0.12514,0.0471,2.09873,5.07435,2.60787,0,0,0
2,25.3609,2.19244,5.28007,2.80095,0.15691,0.25,0.1226,0.04543,2.08454,4.91325,2.59744,1.50197e-05,1.50197e-05,1.50197e-05
3,37.8577,2.30188,4.78215,2.67682,0.13751,0.21429,0.12125,0.04486,2.0582,4.65561,2.58205,2.67387e-05,2.67387e-05,2.67387e-05
4,50.1817,2.22099,4.9099,2.71179,0.12591,0.28571,0.12492,0.04797,2.02821,4.46399,2.56982,3.5157e-05,3.5157e-05,3.5157e-05
5,62.81,2.04795,3.91802,2.5471,0.10842,0.53571,0.12607,0.04846,1.99834,4.25082,2.55778,4.02747e-05,4.02747e-05,4.02747e-05
6,75.5562,2.06253,3.55899,2.57057,0.10754,0.46429,0.12708,0.04631,1.97955,4.04404,2.55836,4.20917e-05,4.20917e-05,4.20917e-05
7,87.9587,1.92226,3.36949,2.42359,0.11913,0.46429,0.13331,0.05091,1.96445,3.86573,2.56092,4.06081e-05,4.06081e-05,4.06081e-05
8,100.16,2.23998,3.40333,2.92018,0.13421,0.46429,0.14413,0.0539,1.95639,3.76222,2.56167,3.58238e-05,3.58238e-05,3.58238e-05
9,112.379,2.13549,3.33368,2.56434,0.1447,0.46429,0.14984,0.05657,1.94865,3.66762,2.55649,2.77389e-05,2.77389e-05,2.77389e-05
10,124.509,1.9877,3.29892,2.75676,0.14423,0.46429,0.15463,0.05862,1.94499,3.6122,2.5536,1.63533e-05,1.63533e-05,1.63533e-05
